Date,Site,Fraction,Acquisition Time,QC Status,"P Oshift 31/47
Oxygen DRC
(ppb)","Ca KED 43/43
Helium KED_Low
(ppb)","Fe (54) NH3 54/54
Ammonia DRC
(ppb)","Cu (65) NH3 65/65
Ammonia DRC
(ppb)","Zn NH3 66/66
Ammonia DRC
(ppb)","As Oshift 75/91
Oxygen DRC
(ppb)","Se (80) Oshift 80/96
Oxygen DRC
(ppb)","Mo (95) NH3 95/95
Ammonia DRC
(ppb)","Cd (111) NH3 111/111
Ammonia DRC
(ppb)","Pb NH3 208/208
Ammonia DRC
(ppb)"
8/16/2021,10,UF,06/08/2023 22:45:47,Passed,40.16955685,79151.42972,0.989594709,2.523033816,1.992987403,10.09626239,0.182449708,5.108686349,0.016622257,0.111473762
8/16/2021,11,UF,06/08/2023 22:51:35,Passed,36.03873297,70772.656,-0.454362963,2.031909183,1.760061281,9.738721763,0.171138475,4.126818531,0.006267292,0.118362847
8/30/2021,1,UF,06/09/2023 14:36:51,Passed,39.85727717,66916.6514,-0.165043936,1.283302225,4.858187635,9.136757927,0.079879583,27.51251282,0.016518773,0.145589752
8/30/2021,6,UF,06/09/2023 14:42:39,Passed,30.95286344,68818.80776,0.447604109,3.32076437,2.787158553,10.01202011,0.2126417,15.78298033,0.030035377,0.176086489
8/30/2021,8,UF,06/09/2023 14:48:27,Passed,34.12074125,65901.15293,-0.255330983,3.691571936,1.720718505,10.15058704,0.158904198,14.00496591,0.030558249,0.120869948
8/30/2021,9,UF,06/09/2023 14:54:15,Passed,31.34709611,59504.3127,-0.343714712,3.341088091,6.41316362,8.296948729,0.14691983,9.686871732,0.021602568,0.128019242
8/30/2021,10,UF,06/09/2023 15:12:07,Passed,36.23341796,70228.72118,1.677747159,2.832305957,2.714676877,8.926495254,0.209992463,6.518264984,0.022691119,0.163615089
8/30/2021,11,UF,06/09/2023 15:59:33,Passed,34.68797588,66317.68038,-0.214989538,2.871992928,1.679067974,9.189722245,0.206415038,6.184197925,0.020162924,0.126473404
9/13/2021,1,UF,06/09/2023 19:13:24,Passed,13.23590484,67123.68102,0.908251933,1.255313564,2.410949737,8.004448432,0.096697905,31.30739139,0.018930607,0.100915076
9/13/2021,6,UF,06/09/2023 19:19:12,Passed,4.435305537,66886.98815,0.235864258,3.535660968,3.38690604,8.010355469,0.149891226,11.82834282,0.033624392,0.137453011
9/13/2021,8,UF,06/09/2023 19:30:49,Passed,5.390851509,65988.59239,0.034601817,3.165798145,1.929855909,8.903650861,0.181715362,9.980014126,0.023218714,0.114411778
9/13/2021,1,UF,06/16/2023 15:23:13,Passed,7.777,33630.246,0.399,0.644,1.187,3.930,0.040,15.463,0.008,0.045
9/13/2021,6,UF,06/16/2023 15:29:13,Passed,2.434,33678.119,0.122,1.868,2.203,4.107,0.077,5.991,0.016,0.063
9/13/2021,8,UF,06/16/2023 15:41:13,Passed,2.914,32356.616,0.028,1.610,0.987,4.517,0.073,4.952,0.011,0.052
9/13/2021,9,UF,06/16/2023 15:47:13,Passed,2.690,29543.549,0.196,1.479,0.738,3.875,0.063,3.758,0.007,0.051
9/13/2021,10,UF,06/16/2023 16:23:53,Passed,3.640,33636.098,-0.105,1.221,0.858,4.209,0.072,2.460,0.010,0.057
9/13/2021,11,UF,06/16/2023 16:29:52,Passed,3.575,33979.686,0.820,1.444,1.156,4.165,0.074,2.298,0.008,0.066
10/1/2021,1,UF,06/16/2023 21:01:46,Passed,4.986,37921.477,0.380,0.629,12.386,2.845,0.037,17.046,0.011,0.030
10/1/2021,6,UF,06/16/2023 21:07:46,Passed,3.119,40248.931,0.281,1.549,4.414,3.538,0.080,8.138,0.012,0.055
10/1/2021,8,UF,06/16/2023 21:13:46,Passed,4.573,37895.780,0.886,1.368,4.395,3.983,0.074,6.998,0.011,0.052
10/1/2021,9,UF,06/16/2023 21:44:02,Passed,5.486,34058.235,0.568,1.394,6.011,3.158,0.074,4.989,0.010,0.048
10/1/2021,10,UF,06/16/2023 21:50:03,Passed,4.560,35826.371,1.684,1.076,5.054,3.664,0.074,3.038,0.007,0.064
