"","ndate","SITE_DISTANCE","OM.AREA.g.m2","Al"
"1",18800,0,14.59139716,214.822695
"2",18800,0,8.388884185,50.82608696
"3",18800,89.22,6.430503557,7.395143488
"4",18800,89.22,6.430503557,20.96054889
"5",18800,144.32,4.559811613,11.96442688
"6",18800,144.32,4.559811613,25.51618548
"7",18800,144.32,20.66530007,20.6996298238169
"8",18800,144.32,19.17459242,14.34782609
"9",18800,144.32,0.800889988,19.8568873
"10",18800,167.82,19.20732953,15
"11",18800,167.82,8.535031994,10.01253133
"12",18800,0,7.562272183,25.03864734
"13",18800,0,8.698717539,24.31666667
"14",18800,0,9.952081141,34.1892433905509
"15",18800,44.9,14.8953846,10.97054381
"16",18800,44.9,22.94520587,10.26091587
"17",18800,44.9,17.52019924,33.90789474
"18",18800,44.9,10.47587489,19.02847571
"19",18800,44.9,12.14546745,32.68387097
"20",18800,64.82,14.34762262,8.972972973
"21",18800,64.82,27.72833134,2.175800088
"22",18800,64.82,3.283064361,50.70484581
"23",18800,64.82,2.185202027,65.34663866
"24",18800,64.82,23.21411784,26.9805684091479
"25",18800,89.22,10.04093901,7.871253406
"26",18800,89.22,9.143006875,28.35864486
"27",18800,89.22,7.313236318,6.87100894
"28",18800,89.22,6.734490998,7.923611111
"29",18800,144.32,3.633819101,12.7079646
"30",18800,167.82,6.229404173,12.84641068
"31",18800,167.82,6.383736258,11.5001654
"32",18800,167.82,3.472471921,12.62596899
"33",18815,0,8.231044553,26.73179396
"34",18815,0,7.810138865,27.32206406
"35",18815,144.32,33.19542854,53.1595092
"36",18815,167.82,11.5749064,20.43519395
"37",18815,167.82,38.3804029773079,12.90733198
"38",18815,0,9.952665732,33.38607595
"39",18815,0,0.675319792,116.942446
"40",18815,0,12.35825865,81.59722222
"41",18815,44.9,6.734490998,34.61126005
"42",18815,44.9,14.71708428,29.34027778
"43",18815,44.9,18.50114332,25.25252525
"44",18815,44.9,7.562272183,24.07915994
"45",18815,44.9,12.89842095,18.32817337
"46",18815,64.82,16.20486896,31.71641791
"47",18815,64.82,11.12594034,21.73170732
"48",18815,64.82,12.72070522,108.1954887
"49",18815,64.82,20.56241201,13.1869773
"50",18815,64.82,13.46664363,16.34082397
"51",18815,89.22,8.464881046,37.70134228
"52",18815,89.22,4.23127134,28.6535009
"53",18815,89.22,17.47810867,24.134754906804
"54",18815,89.22,11.90695422,103.4191176
"55",18815,89.22,2.272890712,28.38810642
"56",18815,144.32,5.070159759,22.16951788
"57",18815,144.32,13.52510275,0.079867966
"58",18815,144.32,27.57809139,81.0787172
"59",18815,144.32,6.629264576,31.79166667
"60",18815,167.82,7.700235714,40.6
"61",18815,167.82,2.726533508,12.23424095
"62",18815,167.82,9.354628901,18.23819978
"63",18828,0,4.835738675,31.9133898065754
"64",18828,167.82,21.38142433,15.6709204054019
"65",18828,144.32,45.95120923,14.2865539918698
"66",18828,144.32,33.38951283,15.995984282023
"67",18828,144.32,15.06140851,18.4901232651699
"68",18828,144.32,22.99197317,17.4109101544452
"69",18828,167.82,13.39883105,16.7572137142265
"70",18828,0,2.865666221,32.1814826994002
"71",18828,0,3.395305878,32.1094078741766
"72",18828,0,4.2406248,31.9943745439565
"73",18828,0,6.357429653,31.7063139016008
"74",18828,44.9,12.69264484,27.1009586578599
"75",18828,44.9,2.739394515,28.4554244122649
"76",18828,44.9,10.34901859,27.4198857814726
"77",18828,44.9,5.598045642,28.0664112829972
"78",18828,44.9,7.766879114,27.7712704426777
"79",18828,64.82,13.29945054,25.3576841019361
"80",18828,64.82,32.14959483,22.7925044799318
"81",18828,64.82,28.80865593,23.2471486594561
