,SAMPLING_DATE,SITE,SAMPLE_DESCRIPTOR,FIELD.REP,Al,Al_r,As,B,B_r,Ba,Be,Ca_r,Cd,Co,Cr,Cu,Fe,Fe_r238,Fe_r234,K_r,Li_r,Mg_r,Mn,Mn_r,Mo,Na_r,Ni,P,Pb,S181,S_r,S180,Sb,Se,Si,Si_r251,Si_r212,Sn,Sr_r,Ti,Tl,Zn,Zn_r
85,7-Jul-21,WS,EPIL,1,26.73179396,29.31616341,0.056838366,24.44049734,27.62877442,30.09769094,0.001273535,66.98046181,0.003029307,0.017220249,0.02928952,0.418028419,11.89165187,13.11722913,13.06394316,28.31261101,0.021207815,7.641207815,6.396092362,7.190053286,0.003761989,67.87744227,0.028685613,2.167850799,0.047468917,2.892539964,3.194493783,4.177619893,0.006281528,-0.011376554,3.473357016,3.943161634,3.994671403,-0.031287744,0.54937833,0.492628774,-0.033845471,26.30550622,30
55,7-Jul-21,BN,EPIP,5,13.3708322,15.68175657,0.036730821,2.766332339,3.064516129,3.460287341,0.000992952,27.17538628,0.002721605,0.008763893,0.014475468,0.416644077,12.19300623,15.70886419,15.99349417,5.468961778,0.01398753,5.885063703,2.065600434,2.443751694,-0.000121442,8.28679859,0.012251288,1.132962863,0.068419626,1.273244782,1.429926809,1.804011927,0.000232177,-0.001248848,0.925047438,1.047844944,1.053402006,-0.005630252,0.133505015,0.459880726,-0.012258065,3.525345622,4.017348875
64,7-Jul-21,GC,EPIP,2,53.9122807,58.33333333,0.047368421,56.66666667,63.38596491,69.14035088,0.001561404,52.73684211,0.002478947,0.032473684,0.043719298,0.41245614,17.40701754,18.43859649,18.45614035,63.07017544,0.024245614,9.649122807,3.178947368,3.349122807,-0.001642105,147.3684211,0.02945614,2.435087719,0.064754386,2.673684211,3.057894737,3.80877193,0.013761404,-0.034473684,6.998245614,7.768421053,7.896491228,-0.046684211,1.21122807,0.750701754,-0.019947368,60.49122807,67.49122807
275,13-Oct-21,DL,EPIL,2,11.89160692,15.227752,0.024884015,6.107127794,7.12779418,7.087726698,-0.114297765,117.9460143,0.002530578,0.010544074,0.0113876,0.405946858,9.029945171,10.99746942,11.07338676,8.371994939,0.015394348,4.204976803,3.017714045,3.646140869,0.002530578,16.52889076,0.006115563,1.133277098,0.053142134,2.939687895,3.386756643,2.920708562,-0.000210881,0.002530578,1.308097849,1.50716997,1.49852383,0.006959089,0.255588359,0.443905525,-0.005272037,5.881484606,6.815689582
257,22-Sep-21,DL,EPIL,5,20.23901809,23.8372093,0.007105943,19.81912145,23.30749354,23.19121447,-0.129844961,134.3023256,0.001937984,0.027131783,0.016149871,0.405684755,9.935400517,11.33074935,11.29844961,22.13178295,0.019379845,5.153100775,4.008397933,4.550387597,0.001937984,51.11111111,0.008397933,1.170542636,0.058139535,3.246124031,3.835917313,3.124031008,0.000645995,0.002583979,2.86498708,3.242894057,3.306847545,0.005167959,0.535529716,0.513565891,-0.008397933,18.44315245,22.63565891
51,7-Jul-21,BN,EPIP,1,22.32418525,24.93567753,0.039451115,12.98027444,14.47684391,15.80617496,0.001290738,34.46397942,0.002845197,0.013602058,0.021123499,0.405445969,15.12435678,17.04974271,17.07118353,16.16638079,0.016753859,6.689536878,2.397084048,2.629931389,-0.000411664,34.70411664,0.01614494,1.380360206,0.071312178,1.679245283,1.92238422,2.380789022,0.002998714,-0.005497427,2.346483705,2.617924528,2.623499142,-0.014502573,0.343910806,0.59219554,-0.01397084,14.14236707,16.0077187
192,17-Aug-21,DL,EPIL,2,25.86032389,29.67611336,-0.010121457,29.44331984,34.29149798,36.1437247,-0.090080972,93.41093117,0.001012146,0.038461538,0.020242915,0.4048583,7.766194332,8.613360324,8.581983806,32.75303644,0.018218623,5.025303644,2.74291498,3.036437247,0.004048583,74.58502024,0.008097166,0.883603239,0.044534413,3.820850202,4.519230769,3.852226721,0,0.002024291,3.846153846,4.469635628,4.479757085,0.001012146,0.677125506,0.329959514,-0.009109312,28.40080972,33.74493927
59,7-Jul-21,BG,EPIP,5,24.98842593,27.62152778,0.038773148,18.58217593,21.01851852,22.17592593,0.001103009,37.29166667,0.002798032,0.015376157,0.021857639,0.404456019,14.95949074,16.875,16.85763889,21.89814815,0.017465278,6.967592593,2.706018519,3.001157407,-0.00093287,49.40393519,0.017077546,1.484953704,0.064293981,1.763310185,2.011574074,2.530092593,0.004274306,-0.010619213,2.962962963,3.344907407,3.389467593,-0.01990162,0.452835648,0.601273148,-0.015590278,19.61226852,22.60416667
245,22-Sep-21,BN,EPIL,3,18.65534179,24.45763406,0.014531314,5.542365944,6.573884568,6.369218174,-0.244167008,251.3303316,0.003069996,0.01248465,0.016782644,0.404216128,13.41997544,18.22758903,18.51412198,10.13098649,0.028243962,9.523127302,2.204257061,2.705689726,0.003069996,15.95579206,0.011665984,1.566516578,0.065697912,4.318460909,5.237413017,3.958248056,0,0.004297994,1.355914859,1.559148588,1.569995907,0.01473598,0.55218993,0.663528449,-0.005730659,5.368399509,6.582071224
1,22-Jun-21,BN,EPIL,1,15,15.45827633,0.033857729,0.156019152,0.166484268,0.638166895,0.000876881,41.62106703,0.002884747,0.007948016,0.015612175,0.40253078,14.31600547,16.09439124,16.1627907,3.532831737,0.013905609,5.745554036,1.269151847,1.359439124,-3.21477E-05,5.205198358,0.012780438,2.773597811,0.067749658,1.351573187,1.373461012,2.546853625,-0.000235294,-0.004278386,0.721614227,0.773597811,0.783173735,-0.014531464,0.105642955,0.538303694,-0.009196306,1.080711354,1.110465116
