site,date,Element,UF,F,W,spm,colloidal,trulydissolved
11,6/21/2021,Se82_Oshift,0.173737374,0.202020202,0.112595629,-0.089424573,0.028282828,0.173737374
11,6/21/2021,Mo_NH3,5.042424242,5.525252525,5.363636364,-0.161616162,0.482828283,5.042424242
11,6/21/2021,Mo_Oshift,4.874747475,5.577777778,5.373737374,-0.204040404,0.703030303,4.874747475
11,6/21/2021,Cd111,0.024242424,0.034343434,0.053180963,0.018837528,0.01010101,0.024242424
11,6/21/2021,Cd114,0.026262626,0.034343434,0.039323993,0.004980559,0.008080808,0.026262626
11,6/21/2021,Pb_STD,0.149494949,0.290909091,0.858585859,0.567676768,0.141414141,0.149494949
11,6/21/2021,Pb_NH3,0.163636364,0.288888889,0.898989899,0.61010101,0.125252525,0.163636364
1,7/6/2021,Na,18173.17576,14536.91313,11857.0202,-2679.892929,-3636.262626,18173.17576
1,7/6/2021,Mg,12875.14343,11191.99394,12200.67677,1008.682828,-1683.149495,12875.14343
1,7/6/2021,Al,13.67070707,13.38585859,50.3030303,36.91717172,-0.284848485,13.67070707
1,7/6/2021,P,56.08888889,30.26060606,49.64032951,19.37972345,-25.82828283,56.08888889
1,7/6/2021,S,38950.88081,38442.18586,32776.25253,-5665.933333,-508.6949495,38950.88081
1,7/6/2021,K,3772.167677,3443.838384,2929.272727,-514.5656566,-328.3292929,3772.167677
1,7/6/2021,Ca,69916.86869,62200.23232,62923.38384,723.1515152,-7716.636364,69916.86869
1,7/6/2021,V,0.975757576,0.812121212,0.565432465,-0.246688747,-0.163636364,0.975757576
1,7/6/2021,Cr_KED,0.123232323,0.16969697,0.262626263,0.092929293,0.046464646,0.123232323
1,7/6/2021,Cr_NH3,0.125252525,0.197979798,0.11823354,-0.079746258,0.072727273,0.125252525
1,7/6/2021,Fe_NH3,1.218874063,16.14343434,43.55555556,27.41212121,14.92456028,1.218874063
1,7/6/2021,Mn,44.32525253,42.19393939,33.62626263,-8.567676768,-2.131313131,44.32525253
1,7/6/2021,Fe_KED,1.364188275,16.53737374,47.68686869,31.14949495,15.17318546,1.364188275
1,7/6/2021,Co,0.065677402,0.065677402,0.32838701,0.262709608,0,0.065677402
1,7/6/2021,Ni,0.737373737,0.822222222,0.656565657,-0.165656566,0.084848485,0.737373737
1,7/6/2021,Cu_KED,7.705050505,2.363636364,4.951587001,2.587950637,-5.341414141,7.705050505
1,7/6/2021,Cu_NH3,7.715151515,2.426262626,5.087890009,2.661627382,-5.288888889,7.715151515
1,7/6/2021,Zn,3.939393939,1.793939394,1.757575758,-0.036363636,-2.145454545,3.939393939
1,7/6/2021,As_STD,10.51111111,10.24444444,11.5959596,1.351515152,-0.266666667,10.51111111
1,7/6/2021,As_KED,9.256565657,9.367676768,8.98989899,-0.377777778,0.111111111,9.256565657
1,7/6/2021,As_Oshift,10.82020202,10.46464646,10.29292929,-0.171717172,-0.355555556,10.82020202
1,7/6/2021,Se..77..77.77..ppb.,0.433699895,0.433699895,2.168499474,1.734799579,0,0.433699895
1,7/6/2021,Se77_Oshift,0.055646451,0.055646451,0.278232254,0.222585803,0,0.055646451
1,7/6/2021,Se78_Oshift,0.072727273,0.137373737,0.089658949,-0.047714789,0.064646465,0.072727273
1,7/6/2021,Se80_Oshift,0.086868687,0.113131313,0.171717172,0.058585859,0.026262626,0.086868687
1,7/6/2021,Se..82..82.82..ppb.,0.57979798,0.622222222,1.070707071,0.448484848,0.042424242,0.57979798
1,7/6/2021,Se82_Oshift,0.094949495,0.076767677,0.112595629,0.035827952,-0.018181818,0.094949495
1,7/6/2021,Mo_NH3,25.44444444,24.84444444,17.1010101,-7.743434343,-0.6,25.44444444
1,7/6/2021,Mo_Oshift,25.25252525,24.44646465,17.24242424,-7.204040404,-0.806060606,25.25252525
1,7/6/2021,Cd111,0.010636193,0.010636193,0.053180963,0.04254477,0,0.010636193
1,7/6/2021,Cd114,0.022222222,0.024242424,0.039323993,0.015081569,0.002020202,0.022222222
1,7/6/2021,Pb_STD,0.071230072,0.071230072,0.356150362,0.28492029,0,0.071230072
1,7/6/2021,Pb_NH3,0.078026292,0.078026292,0.390131458,0.312105166,0,0.078026292
6,7/6/2021,Na,20216.56566,17224.21212,17515.45455,291.2424242,-2992.353535,20216.56566
6,7/6/2021,Mg,12885.67071,12379.28485,13007.36364,628.0787879,-506.3858586,12885.67071
6,7/6/2021,Al,2.315151515,8.486868687,116.6161616,108.1292929,6.171717172,2.315151515
6,7/6/2021,P,29.10505051,9.928065902,49.64032951,39.71226361,-19.1769846,29.10505051
6,7/6/2021,S,28845.47273,27726.18586,24427.52525,-3298.660606,-1119.286869,28845.47273
6,7/6/2021,K,3787.745455,3590.783838,3829.919192,239.1353535,-196.9616162,3787.745455
6,7/6/2021,Ca,63942.02626,63398.33131,65259.93939,1861.608081,-543.6949495,63942.02626
6,7/6/2021,V,1.777777778,1.664646465,1.818181818,0.153535354,-0.113131313,1.777777778
6,7/6/2021,Cr_KED,0.131313131,0.107070707,0.363636364,0.256565657,-0.024242424,0.131313131
6,7/6/2021,Cr_NH3,0.129292929,0.127272727,0.333333333,0.206060606,-0.002020202,0.129292929
6,7/6/2021,Fe_NH3,1.218874063,14.81212121,119.2828283,104.4707071,13.59324715,1.218874063
6,7/6/2021,Mn,36.34949495,40.30909091,56.72727273,16.41818182,3.95959596,36.34949495
6,7/6/2021,Fe_KED,1.364188275,14.68080808,121.7070707,107.0262626,13.31661981,1.364188275
6,7/6/2021,Co,0.065677402,0.065677402,0.32838701,0.262709608,0,0.065677402
6,7/6/2021,Ni,0.432323232,0.448484848,0.262626263,-0.185858586,0.016161616,0.432323232
6,7/6/2021,Cu_KED,3.117171717,6.307070707,12.51515152,6.208080808,3.18989899,3.117171717
6,7/6/2021,Cu_NH3,3.185858586,6.517171717,12.02020202,5.503030303,3.331313131,3.185858586
6,7/6/2021,Zn,2.680808081,8.03030303,5.696969697,-2.333333333,5.349494949,2.680808081
6,7/6/2021,As_STD,12.87272727,12.94747475,13.37373737,0.426262626,0.074747475,12.87272727
6,7/6/2021,As_KED,11.31111111,11.20606061,10.51515152,-0.690909091,-0.105050505,11.31111111
6,7/6/2021,As_Oshift,11.4040404,12.78585859,12.62626263,-0.15959596,1.381818182,11.4040404
6,7/6/2021,Se..77..77.77..ppb.,0.433699895,0.433699895,2.168499474,1.734799579,0,0.433699895
6,7/6/2021,Se77_Oshift,0.055646451,0.055646451,0.278232254,0.222585803,0,0.055646451
6,7/6/2021,Se78_Oshift,0.151515152,0.208080808,0.089658949,-0.118421859,0.056565657,0.151515152
6,7/6/2021,Se80_Oshift,0.151515152,0.157575758,0.353535354,0.195959596,0.006060606,0.151515152
6,7/6/2021,Se..82..82.82..ppb.,0.868686869,0.824242424,1.454545455,0.63030303,-0.044444444,0.868686869
6,7/6/2021,Se82_Oshift,0.105050505,0.113131313,0.505050505,0.391919192,0.008080808,0.105050505
6,7/6/2021,Mo_NH3,13.1030303,14.29292929,8.222222222,-6.070707071,1.18989899,13.1030303
6,7/6/2021,Mo_Oshift,12.25858586,13.93535354,7.929292929,-6.006060606,1.676767677,12.25858586
6,7/6/2021,Cd111,0.032323232,0.036363636,0.053180963,0.016817326,0.004040404,0.032323232
6,7/6/2021,Cd114,0.034343434,0.038383838,0.039323993,0.000940155,0.004040404,0.034343434
6,7/6/2021,Pb_STD,0.234343434,0.535353535,1.131313131,0.595959596,0.301010101,0.234343434
6,7/6/2021,Pb_NH3,0.228282828,0.509090909,0.888888889,0.37979798,0.280808081,0.228282828
