,Group.1,Group.2,Group.3,...1,SAMPLING_DATE,SITE,SITE_DISTANCE,FIELD.REP,OM.AREA.g.m2,ASH.AREA.g.m2,PHICOCYANIN.MG.M2,TOTAL.MG.M2.RITCHIE,As,Car,Cd,Cu,Fer.1,Mo,P,Pb,Se,Znr,As.1,Car.1,Cd.1,Cu.1,Fer.1.1,Mo.1,P.1,Pb.1,Se.1,Znr.1,SS.As,SS.Ca,SS.Cd,SS.Cu,SS.Fe,SS.Mo,SS.P,SS.Pb,SS.Se,SS.Zn,CL.As,CL.Ca,CL.Cd,CL.Cu,CL.Fe,CL.Mo,CL.P,CL.Pb,CL.Se,CL.Zn,TD.As,TD.Ca,TD.Cd,TD.Cu,TD.Fe,TD.Mo,TD.P,TD.Pb,TD.Se,TD.Zn
12,10/13/2021,BN,EPIL,225.5,10/13/2021,NA,167.82,3,20.72492837,122.330205,25.90649252,54.1612607,0.004755717,124.2534659,0.001299467,0.190480063,8.375984813,0.001412935,0.867136232,0.031952314,0.001119464,4.855473125,0.079809844,2740.559593,0.027257028,3.852975433,166.4653693,0.031623988,18.53041263,0.649778522,0.024572659,108.4368226,0.3025,363.2605,0.0235,3.2245,122.44775,0.04375,12.282,0.94675,0,2.30075,0.07075,0,0.0015,0.6,5.13375,0.093,0,0.04175,0.0055,1.4355,3.37525,34045.54825,0.0065,0.93025,1.53125,2.7255,3.631,0.04475,0.073,4.1425
48,10/13/2021,BN,EPIP,345.5,10/13/2021,NA,167.82,3,,,,,,,,,,,,,,,,,,,,,,,,,0.3025,363.2605,0.0235,3.2245,122.44775,0.04375,12.282,0.94675,0,2.30075,0.07075,0,0.0015,0.6,5.13375,0.093,0,0.04175,0.0055,1.4355,3.37525,34045.54825,0.0065,0.93025,1.53125,2.7255,3.631,0.04475,0.073,4.1425
70,10/13/2021,BN,FILA,430.75,10/13/2021,NA,167.82,NA,,,,,,,,,,,,,,,,,,,,,,,,,0.3025,363.2605,0.0235,3.2245,122.44775,0.04375,12.282,0.94675,0,2.30075,0.07075,0,0.0015,0.6,5.13375,0.093,0,0.04175,0.0055,1.4355,3.37525,34045.54825,0.0065,0.93025,1.53125,2.7255,3.631,0.04475,0.073,4.1425
3,7/20/2021,BG,EPIL,71,7/20/2021,NA,144.32,3,25.56651296,148.9741898,16.29708239,41.64063508,,,,,,,,,,,,,,,,,,,,,0,174.9294,0.00917479,1.80467912,92.85836173,0,14.70286344,0.132250895,0.059276935,1.092147208,0.327538218,1118.76442,0.006185326,2.872381502,6.060850252,0.323091356,0,0.20401446,0.000649966,1.441872973,9.454963187,61975.28148,0.01395713,2.098447906,1.182137522,4.045008719,10.65524212,0.078228959,0.197482593,2.113026904
41,7/20/2021,BG,EPIP,255,7/20/2021,NA,144.32,3,35.51836026,241.3578438,26.10237267,67.6937038,,,,,,,,,,,,,,,,,,,,,0,174.9294,0.00917479,1.80467912,92.85836173,0,14.70286344,0.132250895,0.059276935,1.092147208,0.327538218,1118.76442,0.006185326,2.872381502,6.060850252,0.323091356,0,0.20401446,0.000649966,1.441872973,9.454963187,61975.28148,0.01395713,2.098447906,1.182137522,4.045008719,10.65524212,0.078228959,0.197482593,2.113026904
61,7/20/2021,BG,FILA,348,7/20/2021,NA,144.32,3,103.4895912,444.5144394,,346.9894656,0.02048957,50.61749807,0.001671129,0.242670681,9.058249456,0.000884883,0.864348048,0.02952625,0.001098224,0.378647042,2.129631197,5207.280961,0.173571726,25.19183919,938.1216561,0.091530894,89.64832869,3.058202412,0.113920121,39.22845832,0,174.9294,0.00917479,1.80467912,92.85836173,0,14.70286344,0.132250895,0.059276935,1.092147208,0.327538218,1118.76442,0.006185326,2.872381502,6.060850252,0.323091356,0,0.20401446,0.000649966,1.441872973,9.454963187,61975.28148,0.01395713,2.098447906,1.182137522,4.045008719,10.65524212,0.078228959,0.197482593,2.113026904
35,7/7/2021,WS,EPIL,36.8,7/7/2021,NA,0,3,7.805485518,24.24589798,9.020649593,21.85942205,0.069576291,77.67117842,0.003382705,0.453697935,13.7732076,0.006886526,2.240765524,0.073026982,0.011046385,69.6936797,0.529201144,552.0698099,0.026936102,3.494050205,105.7380556,0.049267365,19.1985931,0.657822813,0.069252726,433.5533689,0.19351096,0,0.00780981,0.656950957,61.38175,0,27.27793085,0.041529681,0.105648834,0,0,0,0,0,14.9954317,0,0,0.0547217,0.027324543,0,10.82049966,69916.86871,0.019654866,7.714183547,1.147265885,25.44492333,56.08866996,0.048172727,0.086415387,3.938742688
15,7/20/2021,DL,EPIL,76,7/20/2021,NA,44.9,3,7.82919654,40.31270988,12.38642426,19.14142168,,,,,,,,,,,,,,,,,,,,,0.53729514,4488.46124,0.012654386,5.719070122,108.0792022,0.072992871,17.60895127,0.735130643,0.14724666,0,1.05956142,0,0.002073535,3.444470636,10.13380354,0.674982334,0,0.118316606,0.010356611,2.750321883,11.02654238,62674.74116,0.024768735,2.858475392,1.073960757,7.479190498,8.059181772,0.035029843,0.200869479,3.147981556
33,10/13/2021,GR,EPIL,205.5,10/13/2021,NA,64.82,3,25.93854682,138.1613565,46.87390465,85.57860279,0.003413037,191.2967014,0.001432763,0.197805349,5.291977931,0.002318463,1.0030741,0.025119029,0.00184889,9.539675872,0.113736113,5039.913382,0.040109481,5.212561473,134.1348755,0.062233078,25.49668147,0.643550676,0.047593711,248.4861042,,,,,,,,,,,,,,,,,,,,,3.605125,39150.78925,0.01075,1.30375,1.0335,8.4965,3.64625,0.048125,0.07775,3.7265
55,10/13/2021,GR,EPIP,307.5,10/13/2021,NA,64.82,3,12.02504165,-2.414946379,6.169542031,22.39845984,0.008220089,102.7013697,0.000988351,0.324428872,8.859062598,0.002064962,1.302669929,0.044913138,0.003505739,17.24353921,0.073863791,1126.963067,0.008383009,3.756994737,106.9001712,0.023037974,14.86978037,0.578404546,0.047720533,241.6170736,,,,,,,,,,,,,,,,,,,,,3.605125,39150.78925,0.01075,1.30375,1.0335,8.4965,3.64625,0.048125,0.07775,3.7265
