,site,date,UF_Fe_NH3,UF_Cu_NH3,UF_Zn,UF_As_Oshift,UF_Se78_Oshift,UF_Mo_Oshift,UF_Cd114,UF_Pb_NH3,F_Fe_NH3,F_Cu_NH3,F_Zn,F_As_Oshift,F_Se78_Oshift,F_Mo_Oshift,F_Cd114,F_Pb_NH3,W_Fe_NH3,W_Cu_NH3,W_Zn,W_As_Oshift,W_Se78_Oshift,W_Mo_Oshift,W_Cd114,W_Pb_NH3
42,11,9/22/2021,3.258585859,1.017578002,10.52525253,7.553535354,0.185858586,5.804040404,0.007864799,0.078026292,13.87474747,3.385858586,14.69292929,7.771717172,0.171717172,5.983838384,0.007864799,0.212121212,177.1919192,5.087890009,8.525252525,7.97979798,0.252525253,5.696969697,0.039323993,2.111111111
37,1,9/22/2021,1.218874063,1.017578002,25.02222222,5.747474747,0.092929293,35.14949495,0.007864799,0.078026292,23.21010101,1.017578002,29.86666667,5.941414141,0.086868687,35.67878788,0.007864799,0.078026292,76.32323232,5.087890009,1.626262626,6.848484848,0.222222222,35.73737374,0.039323993,0.390131458
39,8,9/22/2021,1.218874063,2.763636364,8.878787879,8.046464646,0.155555556,14.46262626,0.007864799,0.078026292,17.20808081,4.913131313,11.49292929,8.280808081,0.177777778,15.08080808,0.018181818,0.414141414,51.74747475,5.087890009,5.202020202,8.656565657,0.262626263,14.62626263,0.039323993,0.390131458
38,6,9/22/2021,1.218874063,3.129292929,8.917171717,7.147474747,0.153535354,16.7030303,0.018181818,0.078026292,14.75151515,4.426262626,10.59393939,7.191919192,0.183838384,16.75353535,0.026262626,0.195959596,94.8989899,5.087890009,6.565656566,7.929292929,0.089658949,16.83838384,0.039323993,0.797979798
43,1,10/13/2021,1.218874063,1.017578002,3.494949495,5.155555556,0.094949495,41.8989899,0.007864799,0.078026292,24.7010101,1.017578002,2.529292929,5.694949495,0.139393939,44.10707071,0.016161616,,112.3737374,5.087890009,1.616161616,6.787878788,0.181818182,43.28282828,0.039323993,0.390131458
45,8,10/13/2021,1.218874063,2.505050505,6.981818182,6.557575758,0.163636364,21.01818182,0.007864799,0.078026292,,,,,,,,,82.91919192,5.087890009,2.787878788,7.353535354,0.191919192,21.14141414,0.039323993,0.390131458
47,10,10/13/2021,1.218874063,1.017578002,4.280808081,5.783838384,0.153535354,6.448484848,0.007864799,0.078026292,14.36969697,2.943434343,6.517171717,6.42020202,0.161616162,7.096969697,0.007864799,0.460606061,259.6969697,5.087890009,10.90909091,6.727272727,0.232323232,6.747474747,0.039323993,1.717171717
48,11,10/13/2021,2.913131313,1.017578002,6.17979798,6.038383838,0.145454545,5.58989899,0.007864799,0.078026292,13.06464646,2.78989899,7.797979798,6.17979798,0.137373737,5.694949495,0.007864799,0.078026292,343.1515152,11.05050505,17.17171717,7.070707071,0.089658949,5.646464646,0.039323993,2.080808081
46,9,10/13/2021,1.218874063,2.191919192,5.733333333,5.244444444,0.163636364,14.64444444,0.018181818,0.078026292,16.11111111,4.870707071,8.333333333,5.565656566,0.167676768,15.28282828,0.016161616,0.181818182,91.64646465,5.087890009,2.565656566,5.939393939,0.191919192,15,0.039323993,0.390131458
44,6,10/13/2021,3.537373737,2.664646465,7.775757576,5.452525253,0.163636364,22.74141414,0.026262626,0.078026292,37.93737374,4.298989899,10.05656566,5.842424242,0.202020202,23.65050505,0.024242424,0.15959596,173.3434343,11.57575758,7.404040404,7.070707071,0.313131313,23.74747475,0.039323993,1.242424242
