Sample.Id,Element,Concentration
6_21_21_UF_10,As_KED,7.75959596
6_21_21_UF_10,As_Oshift,9.171717172
6_21_21_UF_10,Se..77..77.77..ppb.,0.433699895
6_21_21_UF_10,Se77_Oshift,0.055646451
6_21_21_UF_10,Se78_Oshift,0.197979798
6_21_21_UF_10,Se80_Oshift,0.137373737
6_21_21_UF_10,Se..82..82.82..ppb.,0.547474747
6_21_21_UF_10,Se82_Oshift,0.125252525
6_21_21_UF_10,Mo_NH3,5.551515152
6_21_21_UF_10,Mo_Oshift,5.341414141
6_21_21_UF_10,Cd111,0.026262626
6_21_21_UF_10,Cd114,0.028282828
6_21_21_UF_10,Pb_STD,0.151515152
6_21_21_UF_10,Pb_NH3,0.15959596
6_21_21_UF_11,Na,14386.38182
6_21_21_UF_11,Mg,14490.09697
6_21_21_UF_11,Al,8.044444444
6_21_21_UF_11,P,49.37575758
6_21_21_UF_11,S,21155.73131
6_21_21_UF_11,K,3173.789899
6_21_21_UF_11,Ca,58558.30505
6_21_21_UF_11,V,1.747474747
6_21_21_UF_11,Cr_KED,0.098989899
6_21_21_UF_11,Cr_NH3,0.092929293
6_21_21_UF_11,Fe_NH3,1.218874063
6_21_21_UF_11,Mn,13.58383838
6_21_21_UF_11,Fe_KED,1.364188275
6_21_21_UF_11,Co,0.065677402
6_21_21_UF_11,Ni,0.282828283
6_21_21_UF_11,Cu_KED,4.513131313
6_21_21_UF_11,Cu_NH3,4.674747475
6_21_21_UF_11,Zn,1.177777778
6_21_21_UF_11,As_STD,9.014141414
6_21_21_UF_11,As_KED,8.397979798
6_21_21_UF_11,As_Oshift,9.129292929
6_21_21_UF_11,Se..77..77.77..ppb.,0.433699895
6_21_21_UF_11,Se77_Oshift,0.055646451
6_21_21_UF_11,Se78_Oshift,0.113131313
6_21_21_UF_11,Se80_Oshift,0.125252525
6_21_21_UF_11,Se..82..82.82..ppb.,0.650505051
6_21_21_UF_11,Se82_Oshift,0.173737374
6_21_21_UF_11,Mo_NH3,5.042424242
6_21_21_UF_11,Mo_Oshift,4.874747475
6_21_21_UF_11,Cd111,0.024242424
6_21_21_UF_11,Cd114,0.026262626
6_21_21_UF_11,Pb_STD,0.149494949
6_21_21_UF_11,Pb_NH3,0.163636364
6_21_21_F_1,Na,10777.1899
6_21_21_F_1,Mg,8709.385859
6_21_21_F_1,Al,12.65050505
