"","Sample.Id","Na","Mg","Al","P","S","K","Ca","V","Cr_KED","Cr_NH3","Fe_NH3","Mn","Fe_KED","Co","Ni","Cu_KED","Cu_NH3","Zn","As_STD","As_KED","As_Oshift","Se..77..77.77..ppb.","Se77_Oshift","Se78_Oshift","Se80_Oshift","Se..82..82.82..ppb.","Se82_Oshift","Mo_NH3","Mo_Oshift","Cd111","Cd114","Pb_STD","Pb_NH3"
"11931","5_18_23_MFB",56.675,0.236,-0.591,2.709,406.815,61.567,47.099,0.001,0.003,0.008,-0.439,0.002,-0.075,-0.007,0.001,0.066,0.065,0.062,0.051,-0.008,-0.002,0.064,0.012,0.009,-0.008,-0.04,-0.021,0.019,0.003,0.001,-0.002,0.008,0.014
"22611","5_18_23_MFB",4502.953,4575.084,4.35,9.68,5801.114,4707.622,4994.994,4.941,5.215,5.117,4.863,5.141,4.775,4.855,4.621,5.001,5.026,4.633,4.537,4.844,4.936,5.161,5.291,5.069,4.971,4.881,4.902,4.738,5.132,4.656,4.734,5.656,5.658
"22711","5_18_23_MFB",4463.464,4710.486,4.735,9.663,5434.759,4631.435,5054.168,4.881,5.009,5.137,4.884,5.027,4.598,4.796,4.506,4.913,4.999,4.656,4.48,4.759,4.794,5.075,5.26,4.741,4.884,5.067,4.774,4.749,4.96,4.748,4.775,5.555,5.638
"22811","5_18_23_MFB",4428.924,4430.236,4.676,9.935,5721.935,4590.417,4902.02,4.806,5.028,4.968,4.522,4.892,4.277,4.713,4.554,4.871,4.914,4.507,4.476,4.362,4.655,5.26,5.151,4.877,4.715,4.893,4.817,4.588,4.828,4.655,4.68,5.578,6.192
"22911","5_18_23_MFB",4388.056,4647.989,4.468,10.016,5605.771,4604.674,4913.252,4.838,5.108,5.132,4.608,4.935,4.368,4.753,4.686,4.927,5.02,4.594,4.142,4.742,4.774,4.637,4.825,4.778,4.697,4.452,4.679,4.756,4.929,4.678,4.704,5.078,5.525
"260","8_30_21_LAB_A",27.285,12.196,-0.119,-0.663,253.079,33.439,65.876,0.005,0.071,0.08,0.092,0.009,0.101,0.001,0.285,0.1,0.096,0.013,0.072,0.01,0.006,0.201,-0.053,0.003,0.003,0.001,-0.042,0.024,0.025,0.001,-0.001,0.033,0.033
"261","8_30_21_LAB_B",28.239,12.196,-0.319,-0.643,148.444,37.452,73.03,0.001,0.022,0.029,-0.092,0.005,-0.17,0.001,0.267,0.076,0.092,-0.021,0.058,0.018,0.005,0.148,-0.053,0.004,0.004,-0.009,-0.037,0.002,0.003,0.001,-0.001,0.033,0.032
"442","9_13_21_LAB_A",63.816,0.236,-0.122,-0.623,285.199,59.755,42.303,0,0.01,0.014,-0.346,0.039,-0.254,-0.007,0.028,0.585,0.595,0.123,0.094,0.011,0.023,-0.061,0.021,0.004,-0.006,0.033,-0.021,-0.004,0.002,0.001,-0.002,0.018,0.024
"1042","10_1_21_LAB_A",56.507,0.236,-0.21,-0.676,481.885,59.104,45.75,0,0.008,0.015,-0.12,0.008,-0.074,-0.007,0.007,0.084,0.078,0.126,0.062,0,0.001,0.004,0.012,0.011,-0.008,0.003,-0.016,-0.008,0.003,0.001,-0.002,0.018,0.022
"1052","10_1_21_LAB_B",56.751,0.76,-0.34,-0.605,356.091,54.377,42.052,0,0.043,0.047,-0.074,0.01,0.035,-0.007,0.008,0.093,0.091,0.089,0.054,-0.008,0.001,-0.182,0.006,0.001,-0.007,-0.035,-0.016,-0.008,0.002,0.001,-0.002,0.041,0.043
"2061","10_15_21_LAB_A",56.962,0.236,-0.393,-0.762,312.466,55.556,41.9,-0.001,0.039,0.043,-0.184,0.007,-0.078,-0.008,0,0.088,0.089,-0.04,-0.019,-0.011,-0.001,0.024,0.006,-0.001,-0.011,0.032,-0.021,-0.003,0.006,0.001,-0.002,0.016,0.021
"2071","10_15_21_LAB_A",56.399,0.236,-0.384,-0.756,619.799,55.455,42.808,0,0.04,0.047,-0.161,0.006,-0.054,-0.007,0.002,0.098,0.093,-0.026,-0.019,-0.007,-0.002,0.2,0.006,0.002,-0.008,-0.023,-0.021,-0.001,0.007,0.001,-0.002,0.017,0.021
"2081","10_15_21_LAB_B",55.883,0.899,-0.327,-0.692,463.723,57.1,41.943,-0.001,0.012,0.016,-0.367,0.003,-0.174,-0.007,0.008,0.098,0.147,0.099,-0.02,-0.002,-0.003,0.114,0.006,0.005,-0.008,-0.085,-0.015,-0.009,0.002,0.001,-0.003,0.016,0.021
"2091","10_15_21_LAB_B",54.233,0.236,-0.181,-0.66,232.491,61.695,41.883,0,0.009,0.016,-0.364,0.002,-0.233,-0.007,0.002,0.111,0.101,0.098,0.029,-0.011,-0.003,0.075,0.014,-0.001,-0.012,-0.081,-0.015,-0.009,0.002,0.001,-0.002,0.017,0.021
