,DAY,MONTH,YEAR,DATE,FRACTION,SITE,Element,Concentration
359,6,21,2021,6/21/2021,F,10,Mo_Oshift,6.337373737
360,6,21,2021,6/21/2021,F,10,Cd111,0.032323232
361,6,21,2021,6/21/2021,F,10,Cd114,0.032323232
362,6,21,2021,6/21/2021,F,10,Pb_STD,0.260606061
363,6,21,2021,6/21/2021,F,10,Pb_NH3,0.280808081
364,6,21,2021,6/21/2021,F,11,Na,12819.63232
365,6,21,2021,6/21/2021,F,11,Mg,15171.14545
366,6,21,2021,6/21/2021,F,11,Al,15.3979798
367,6,21,2021,6/21/2021,F,11,P,54.48686869
368,6,21,2021,6/21/2021,F,11,S,23883.03434
369,6,21,2021,6/21/2021,F,11,K,3298.486869
370,6,21,2021,6/21/2021,F,11,Ca,62146.99798
371,6,21,2021,6/21/2021,F,11,V,1.826262626
372,6,21,2021,6/21/2021,F,11,Cr_KED,0.094949495
373,6,21,2021,6/21/2021,F,11,Cr_NH3,0.111111111
374,6,21,2021,6/21/2021,F,11,Fe_NH3,14.26464646
375,6,21,2021,6/21/2021,F,11,Mn,15.90505051
376,6,21,2021,6/21/2021,F,11,Fe_KED,14.91515152
377,6,21,2021,6/21/2021,F,11,Co,0.068271155
378,6,21,2021,6/21/2021,F,11,Ni,0.363636364
379,6,21,2021,6/21/2021,F,11,Cu_KED,8.42020202
380,6,21,2021,6/21/2021,F,11,Cu_NH3,8.507070707
381,6,21,2021,6/21/2021,F,11,Zn,4.076767677
382,6,21,2021,6/21/2021,F,11,As_STD,10.28080808
383,6,21,2021,6/21/2021,F,11,As_KED,9.113131313
384,6,21,2021,6/21/2021,F,11,As_Oshift,10.4969697
385,6,21,2021,6/21/2021,F,11,Se..77..77.77..ppb.,0.426625595
386,6,21,2021,6/21/2021,F,11,Se77_Oshift,0.157575758
387,6,21,2021,6/21/2021,F,11,Se78_Oshift,0.163636364
388,6,21,2021,6/21/2021,F,11,Se80_Oshift,0.171717172
389,6,21,2021,6/21/2021,F,11,Se..82..82.82..ppb.,0.614141414
390,6,21,2021,6/21/2021,F,11,Se82_Oshift,0.202020202
391,6,21,2021,6/21/2021,F,11,Mo_NH3,5.525252525
392,6,21,2021,6/21/2021,F,11,Mo_Oshift,5.577777778
393,6,21,2021,6/21/2021,F,11,Cd111,0.034343434
394,6,21,2021,6/21/2021,F,11,Cd114,0.034343434
395,6,21,2021,6/21/2021,F,11,Pb_STD,0.290909091
396,6,21,2021,6/21/2021,F,11,Pb_NH3,0.288888889
397,6,21,2021,6/21/2021,W,1,Na,11305.58586
398,6,21,2021,6/21/2021,W,1,Mg,8934.949495
399,6,21,2021,6/21/2021,W,1,Al,102.0606061
400,6,21,2021,6/21/2021,W,1,P,50.82022643
401,6,21,2021,6/21/2021,W,1,S,30712.87879
402,6,21,2021,6/21/2021,W,1,K,3428.868687
403,6,21,2021,6/21/2021,W,1,Ca,50014.60606
404,6,21,2021,6/21/2021,W,1,V,1.434343434
405,6,21,2021,6/21/2021,W,1,Cr_KED,0.121297853
