"","Sample.Id","Element","conc","Concentration"
"205","6_21_21_F_1","Ca",23833.865,48149.2222222222
"206","6_21_21_F_1","V",0.348,0.703030303030303
"207","6_21_21_F_1","Cr_KED",0.055,0.111111111111111
"208","6_21_21_F_1","Cr_NH3",0.049,0.098989898989899
"209","6_21_21_F_1","Fe_NH3",11.789,23.8161616161616
"210","6_21_21_F_1","Mn",35.654,72.0282828282828
"211","6_21_21_F_1","Fe_KED",12.214,24.6747474747475
"212","6_21_21_F_1","Co",0.035,0.0707070707070707
"213","6_21_21_F_1","Ni",0.279,0.563636363636364
"214","6_21_21_F_1","Cu_KED",2.272,4.58989898989899
"215","6_21_21_F_1","Cu_NH3",2.265,4.57575757575758
"216","6_21_21_F_1","Zn",1.275,2.57575757575758
"217","6_21_21_F_1","As_STD",5.913,11.9454545454545
"218","6_21_21_F_1","As_KED",4.944,9.98787878787879
"219","6_21_21_F_1","As_Oshift",5.943,12.0060606060606
"220","6_21_21_F_1","Se..77..77.77..ppb.",0.283,0.571717171717172
"221","6_21_21_F_1","Se77_Oshift",0.048,0.096969696969697
"222","6_21_21_F_1","Se78_Oshift",0.055,0.111111111111111
"223","6_21_21_F_1","Se80_Oshift",0.063,0.127272727272727
"224","6_21_21_F_1","Se..82..82.82..ppb.",0.24,0.484848484848485
"225","6_21_21_F_1","Se82_Oshift",0.031,0.0626262626262626
"226","6_21_21_F_1","Mo_NH3",8.72,17.6161616161616
"227","6_21_21_F_1","Mo_Oshift",9.229,18.6444444444444
"228","6_21_21_F_1","Cd111",0.009,0.0181818181818182
"229","6_21_21_F_1","Cd114",0.01,0.0202020202020202
"230","6_21_21_F_1","Pb_STD",0.109,0.22020202020202
"231","6_21_21_F_1","Pb_NH3",0.112,0.226262626262626
"232","6_21_21_F_6","Na",6823.182,13784.2060606061
"233","6_21_21_F_6","Mg",5281.79,10670.2828282828
"234","6_21_21_F_6","Al",6.697,13.5292929292929
"235","6_21_21_F_6","P",15.923,32.1676767676768
"236","6_21_21_F_6","S",11853.112,23945.6808080808
"237","6_21_21_F_6","K",1464.365,2958.31313131313
"238","6_21_21_F_6","Ca",26206.059,52941.5333333333
"239","6_21_21_F_6","V",0.667,1.34747474747475
"240","6_21_21_F_6","Cr_KED",0.054,0.109090909090909
"241","6_21_21_F_6","Cr_NH3",0.057,0.115151515151515
"242","6_21_21_F_6","Fe_NH3",9.416,19.0222222222222
"243","6_21_21_F_6","Mn",14.063,28.410101010101
"244","6_21_21_F_6","Fe_KED",9.941,20.0828282828283
"245","6_21_21_F_6","Co",0.028,0.0565656565656566
"246","6_21_21_F_6","Ni",0.257,0.519191919191919
"247","6_21_21_F_6","Cu_KED",4.273,8.63232323232323
"248","6_21_21_F_6","Cu_NH3",4.011,8.1030303030303
"249","6_21_21_F_6","Zn",1.684,3.4020202020202
"250","6_21_21_F_6","As_STD",6.693,13.5212121212121
"251","6_21_21_F_6","As_KED",5.263,10.6323232323232
"252","6_21_21_F_6","As_Oshift",5.704,11.5232323232323
"253","6_21_21_F_6","Se..77..77.77..ppb.",0.586,1.18383838383838
"254","6_21_21_F_6","Se77_Oshift",0.116,0.234343434343434
"255","6_21_21_F_6","Se78_Oshift",0.052,0.105050505050505
"256","6_21_21_F_6","Se80_Oshift",0.059,0.119191919191919
"257","6_21_21_F_6","Se..82..82.82..ppb.",0.288,0.581818181818182
"258","6_21_21_F_6","Se82_Oshift",0.068,0.137373737373737
"259","6_21_21_F_6","Mo_NH3",6.394,12.9171717171717
"260","6_21_21_F_6","Mo_Oshift",6.318,12.7636363636364
"261","6_21_21_F_6","Cd111",0.015,0.0303030303030303
"262","6_21_21_F_6","Cd114",0.016,0.0323232323232323
"263","6_21_21_F_6","Pb_STD",0.158,0.319191919191919
"264","6_21_21_F_6","Pb_NH3",0.139,0.280808080808081
"265","6_21_21_F_8","Na",8358.899,16886.6646464646
"266","6_21_21_F_8","Mg",6440.345,13010.797979798
"267","6_21_21_F_8","Al",3.66,7.39393939393939
"268","6_21_21_F_8","P",21.218,42.8646464646465
"269","6_21_21_F_8","S",12377.082,25004.2060606061
"270","6_21_21_F_8","K",1685.833,3405.72323232323
"271","6_21_21_F_8","Ca",29134.688,58857.9555555556
"272","6_21_21_F_8","V",0.912,1.84242424242424
"273","6_21_21_F_8","Cr_KED",0.058,0.117171717171717
"274","6_21_21_F_8","Cr_NH3",0.051,0.103030303030303
"275","6_21_21_F_8","Fe_NH3",27.098,54.7434343434343
"276","6_21_21_F_8","Mn",16.947,34.2363636363636
"277","6_21_21_F_8","Fe_KED",27.443,55.440404040404
"278","6_21_21_F_8","Co",0.034,0.0686868686868687
"279","6_21_21_F_8","Ni",0.28,0.565656565656566
"280","6_21_21_F_8","Cu_KED",4.545,9.18181818181818
"281","6_21_21_F_8","Cu_NH3",4.613,9.31919191919192
"282","6_21_21_F_8","Zn",1.769,3.57373737373737
"283","6_21_21_F_8","As_STD",5.858,11.8343434343434
"284","6_21_21_F_8","As_KED",5.918,11.9555555555556
"285","6_21_21_F_8","As_Oshift",5.961,12.0424242424242
"286","6_21_21_F_8","Se..77..77.77..ppb.",0.321,0.648484848484849
"287","6_21_21_F_8","Se77_Oshift",0.066,0.133333333333333
"288","6_21_21_F_8","Se78_Oshift",0.094,0.18989898989899
"289","6_21_21_F_8","Se80_Oshift",0.07,0.141414141414141
"290","6_21_21_F_8","Se..82..82.82..ppb.",0.308,0.622222222222222
"291","6_21_21_F_8","Se82_Oshift",0.069,0.139393939393939
"292","6_21_21_F_8","Mo_NH3",5.977,12.0747474747475
"293","6_21_21_F_8","Mo_Oshift",5.802,11.7212121212121
"294","6_21_21_F_8","Cd111",0.019,0.0383838383838384
"295","6_21_21_F_8","Cd114",0.02,0.0404040404040404
"296","6_21_21_F_8","Pb_STD",0.144,0.290909090909091
"297","6_21_21_F_8","Pb_NH3",0.151,0.305050505050505
"298","6_21_21_F_9","Na",6767.696,13672.1131313131
"299","6_21_21_F_9","Mg",6204.307,12533.9535353535
"300","6_21_21_F_9","Al",5.377,10.8626262626263
"301","6_21_21_F_9","P",23.055,46.5757575757576
"302","6_21_21_F_9","S",9604.861,19403.7595959596
"303","6_21_21_F_9","K",1485.622,3001.25656565657
"304","6_21_21_F_9","Ca",27166.599,54882.0181818182
"305","6_21_21_F_9","V",0.793,1.6020202020202
"306","6_21_21_F_9","Cr_KED",0.094,0.18989898989899
"307","6_21_21_F_9","Cr_NH3",0.091,0.183838383838384
"308","6_21_21_F_9","Fe_NH3",11.597,23.4282828282828
"309","6_21_21_F_9","Mn",10.759,21.7353535353535
"310","6_21_21_F_9","Fe_KED",12.536,25.3252525252525
"311","6_21_21_F_9","Co",0.027,0.0545454545454545
"312","6_21_21_F_9","Ni",0.281,0.567676767676768
"313","6_21_21_F_9","Cu_KED",10.671,21.5575757575758
"314","6_21_21_F_9","Cu_NH3",10.139,20.4828282828283
"315","6_21_21_F_9","Zn",4.072,8.22626262626263
"316","6_21_21_F_9","As_STD",4.367,8.82222222222222
"317","6_21_21_F_9","As_KED",3.911,7.9010101010101
